ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:      22       268.5273       126.3699         0.0000         0.0000          -5141.6033      2509.5469         0.0000         0.0000         0.0000          -2237.1593         0.0000     -2237.1593     -2237.1593         0.0000          40053.1345     30333.9538     23823.1240     40053.1345     30333.9538
ENERGY:      23       235.9768       125.3956         0.0000         0.0000          -5154.2437      2430.5644         0.0000         0.0000         0.0000          -2362.3069         0.0000     -2362.3069     -2362.3069         0.0000          37291.8681     27290.2384     23823.1240     37291.8681     27290.2384
ENERGY:      24       211.1663       125.1315         0.0000         0.0000          -5168.6938      2406.2291         0.0000         0.0000         0.0000          -2426.1668         0.0000     -2426.1668     -2426.1668         0.0000          35737.8163     25633.6046     23823.1240     35737.8163     25633.6046
ENERGY:      25       194.1260       125.5813         0.0000         0.0000          -5184.6458      2428.4624         0.0000         0.0000         0.0000          -2436.4761         0.0000     -2436.4761     -2436.4761         0.0000          35092.2136     25002.7687     23823.1240     35092.2136     25002.7687
ENERGY:      26       184.8845       126.7489         0.0000         0.0000          -5201.8815      2504.0440         0.0000         0.0000         0.0000          -2386.2041         0.0000     -2386.2041     -2386.2041         0.0000          35305.9080     25363.8000     23823.1240     35305.9080     25363.8000
ENERGY:      27       198.6838       125.3612         0.0000         0.0000          -5179.4422      2416.1964         0.0000         0.0000         0.0000          -2439.2008         0.0000     -2439.2008     -2439.2008         0.0000          35205.3525     25098.7096     23823.1240     35205.3525     25098.7096
ENERGY:      28       198.1928       125.3800         0.0000         0.0000          -5179.9572      2417.1963         0.0000         0.0000         0.0000          -2439.1880         0.0000     -2439.1880     -2439.1880         0.0000          35190.2044     25084.7365     23823.1240     35190.2044     25084.7365
ENERGY:      29       198.5500       125.3662         0.0000         0.0000          -5179.5819      2416.4625         0.0000         0.0000         0.0000          -2439.2031         0.0000     -2439.2031     -2439.2031         0.0000          35201.1586     25094.8222     23823.1240     35201.1586     25094.8222
ENERGY:      30       192.0389       125.4763         0.0000         0.0000          -5191.4949      2262.8842         0.0000         0.0000         0.0000          -2611.0955         0.0000     -2611.0955     -2611.0955         0.0000          33378.8451     23087.3044     23823.1240     33378.8451     23087.3044
ENERGY:      31       190.8144       126.3442         0.0000         0.0000          -5205.0991      2183.9953         0.0000         0.0000         0.0000          -2703.9452         0.0000     -2703.9452     -2703.9452         0.0000          32505.4671     22135.0014     23823.1240     32505.4671     22135.0014
ENERGY:      32       194.9300       127.9489         0.0000         0.0000          -5220.0311      2143.6206         0.0000         0.0000         0.0000          -2753.5315         0.0000     -2753.5315     -2753.5315         0.0000          32162.5297     21791.4484     23823.1240     32162.5297     21791.4484
ENERGY:      33       204.4267       130.2720         0.0000         0.0000          -5236.0340      2137.6860         0.0000         0.0000         0.0000          -2763.6493         0.0000     -2763.6493     -2763.6493         0.0000          32312.1687     22058.6969     23823.1240     32312.1687     22058.6969
ENERGY:      34       219.3315       133.2975         0.0000         0.0000          -5252.9215      2176.8776         0.0000         0.0000         0.0000          -2723.4149         0.0000     -2723.4149     -2723.4149         0.0000          33093.3591     23176.0532     23823.1240     33093.3591     23176.0532
ENERGY:      35       201.3010       129.5681         0.0000         0.0000          -5231.5749      2135.5172         0.0000         0.0000         0.0000          -2765.1887         0.0000     -2765.1887     -2765.1887         0.0000          32217.3556     21915.8544     23823.1240     32217.3556     21915.8544
ENERGY:      36       201.5954       129.6361         0.0000         0.0000          -5232.0172      2135.5961         0.0000         0.0000         0.0000          -2765.1896         0.0000     -2765.1896     -2765.1896         0.0000          32224.8935     21927.5681     23823.1240     32224.8935     21927.5681
ENERGY:      37       186.9967       133.2462         0.0000         0.0000          -5264.9860      2000.6147         0.0000         0.0000         0.0000          -2944.1284         0.0000     -2944.1284     -2944.1284         0.0000          29015.8437     18530.4486     23823.1240     29015.8437     18530.4486
ENERGY:      38       184.2904       140.1833         0.0000         0.0000          -5296.9877      1890.4176         0.0000         0.0000         0.0000          -3082.0963         0.0000     -3082.0963     -3082.0963         0.0000          26428.2188     15886.1066     23823.1240     26428.2188     15886.1066
ENERGY:      39       160.1575       142.3456         0.0000         0.0000          -5316.6128      1796.1219         0.0000         0.0000         0.0000          -3217.9878         0.0000     -3217.9878     -3217.9878         0.0000          24680.9660     13624.7618     23823.1240     24680.9660     13624.7618
ENERGY:      40       171.4977       146.5028         0.0000         0.0000          -5336.9071      1726.8519         0.0000         0.0000         0.0000          -3292.0547         0.0000     -3292.0547     -3292.0547         0.0000          22419.5045     11070.7957     23823.1240     22419.5045     11070.7957
ENERGY:      41       217.7844       152.8567         0.0000         0.0000          -5357.7137      1679.6346         0.0000         0.0000         0.0000          -3307.4380         0.0000     -3307.4380     -3307.4380         0.0000          21632.9441     10152.3376     23823.1240     21632.9441     10152.3376
ENERGY:      42       297.0933       162.0598         0.0000         0.0000          -5378.9018      1657.4696         0.0000         0.0000         0.0000          -3262.2790         0.0000     -3262.2790     -3262.2790         0.0000          21034.5848      9578.6497     23823.1240     21034.5848      9578.6497
ENERGY:      43       203.5898       151.1091         0.0000         0.0000          -5352.6914      1688.8780         0.0000         0.0000         0.0000          -3309.1144         0.0000     -3309.1144     -3309.1144         0.0000          21806.7763     10343.4063     23823.1240     21806.7763     10343.4063
ENERGY:      44       164.0150       156.4800         0.0000         0.0000          -5402.5448      1536.3136         0.0000         0.0000         0.0000          -3545.7362         0.0000     -3545.7362     -3545.7362         0.0000          19361.7686      7686.8301     23823.1240     19361.7686      7686.8301
ENERGY:      45       153.5364       165.7479         0.0000         0.0000          -5451.1321      1424.2372         0.0000         0.0000         0.0000          -3707.6106         0.0000     -3707.6106     -3707.6106         0.0000          17212.0984      5611.2214     23823.1240     17212.0984      5611.2214
ENERGY:      46       173.6325       179.4412         0.0000         0.0000          -5498.5741      1339.1937         0.0000         0.0000         0.0000          -3806.3066         0.0000     -3806.3066     -3806.3066         0.0000          15189.3541      3937.7965     23823.1240     15189.3541      3937.7965
ENERGY:      47       143.0192       170.3668         0.0000         0.0000          -5497.9092      1307.2702         0.0000         0.0000         0.0000          -3877.2529         0.0000     -3877.2529     -3877.2529         0.0000          15404.6343      3396.2512     23823.1240     15404.6343      3396.2512
ENERGY:      48       154.0333       163.3666         0.0000         0.0000          -5496.9163      1283.1191         0.0000         0.0000         0.0000          -3896.3973         0.0000     -3896.3973     -3896.3973         0.0000          15610.1662      2963.4348     23823.1240     15610.1662      2963.4348
ENERGY:      49       207.1063       158.1594         0.0000         0.0000          -5495.5872      1266.6442         0.0000         0.0000         0.0000          -3863.6773         0.0000     -3863.6773     -3863.6773         0.0000          15804.2670      2638.1162     23823.1240     15804.2670      2638.1162
ENERGY:      50       150.2605       164.1618         0.0000         0.0000          -5497.0632      1285.8163         0.0000         0.0000         0.0000          -3896.8247         0.0000     -3896.8247     -3896.8247         0.0000          15140.0573      2552.5975     23823.1240     15140.0573      2552.5975
