# step Etot Epot T p 
120 -5385.4248 -5385.4248 0.0 -1171.276 
121 -5420.9137 -5420.9137 0.0 -158.5017 
122 -5392.7669 -5392.7669 0.0 438.8199 
123 -5420.862 -5420.862 0.0 -80.0025 
124 -5420.9687 -5420.9687 0.0 -125.1369 
125 -5452.4886 -5452.4886 0.0 395.6297 
126 -5426.7882 -5426.7882 0.0 542.6029 
127 -5452.4678 -5452.4678 0.0 427.0999 
128 -5452.5502 -5452.5502 0.0 410.676 
129 -5485.0641 -5485.0641 0.0 -1195.0068 
130 -5476.4779 -5476.4779 0.0 -3111.8728 
131 -5487.051 -5487.051 0.0 -1736.9249 
132 -5486.9681 -5486.9681 0.0 -1867.5193 
133 -5487.0525 -5487.0525 0.0 -1749.9795 
134 -5515.401 -5515.401 0.0 -1080.2709 
135 -5497.3458 -5497.3458 0.0 -764.9647 
136 -5515.6174 -5515.6174 0.0 -1032.8135 
137 -5515.6166 -5515.6166 0.0 -1037.3994 
138 -5515.618 -5515.618 0.0 -1034.1889 
139 -5539.1162 -5539.1162 0.0 -308.2995 
140 -5504.6236 -5504.6236 0.0 11.534 
141 -5539.3533 -5539.3533 0.0 -362.5987 
142 -5539.3561 -5539.3561 0.0 -356.9943 
143 -5539.3562 -5539.3562 0.0 -357.5559 
144 -5565.4245 -5565.4245 0.0 -1809.8499 
145 -5541.8775 -5541.8775 0.0 -3662.9011 
146 -5565.3765 -5565.3765 0.0 -1977.0446 
147 -5565.4653 -5565.4653 0.0 -1876.9009 
148 -5592.5395 -5592.5395 0.0 -1631.7705 
149 -5586.2183 -5586.2183 0.0 -1720.1036 
150 -5594.0887 -5594.0887 0.0 -1623.6354 
151 -5594.0737 -5594.0737 0.0 -1623.0143 
152 -5594.0884 -5594.0884 0.0 -1623.5539 
153 -5594.0887 -5594.0887 0.0 -1623.6223 
154 -5594.0887 -5594.0887 0.0 -1623.6354 
155 -5615.2257 -5615.2257 0.0 -706.422 
156 -5592.8773 -5592.8773 0.0 -157.4322 
157 -5615.0688 -5615.0688 0.0 -781.5326 
158 -5615.2298 -5615.2298 0.0 -716.6121 
159 -5633.5821 -5633.5821 0.0 -1847.3321 
160 -5602.8512 -5602.8512 0.0 -3357.9088 
161 -5633.9129 -5633.9129 0.0 -1693.8312 
162 -5633.9106 -5633.9106 0.0 -1708.9437 
163 -5633.9132 -5633.9132 0.0 -1696.0958 
